left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.75,-0.234375,0
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.25,-0.75,-0.234375,0.01
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.263672,-0.5625,1.1875,-0.6875,-0.351562,0.02
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.6875,-0.117188,0.03
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.292969,0.04
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.6875,-0.175781,0.05
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,0.06
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,0,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.75,-0.351562,0.07
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.292969,0.08
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.46875,0.09
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.75,-0.117188,0.1
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.585938,0.11
-0.703125,2.54883,-0.950817,-0.878906,0.9375,0.25,-0.125,0,-3.42773,-0.279652,0.175781,-0.5,1.1875,-0.75,-0.585938,0.12
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.6875,-0.0585938,0.13
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.223722,0.175781,-0.5,1.1875,-0.6875,-0.292969,0.14
-0.703125,2.54883,-0.950817,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.175781,-0.5625,1.1875,-0.75,-0.410156,0.15
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.6875,-0.585938,0.16
-0.703125,2.63672,-0.950817,-0.791016,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.6875,-0.292969,0.17
-0.703125,2.63672,-0.838956,-0.791016,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.585938,0.18
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.175781,-0.5,1.1875,-0.6875,-0.585938,0.19
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,0.117188,0.2
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.351562,0.21
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.410156,0.22
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.234375,0.23
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.46875,0.24
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.234375,0.25
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.117188,0.26
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5625,1.1875,-0.6875,-0.234375,0.27
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.175781,0.28
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.410156,0.29
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.234375,0.3
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.527344,0.31
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5625,1.1875,-0.6875,-0.351562,0.32
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5625,1.1875,-0.6875,-0.292969,0.33
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.25,-0.75,-0.351562,0.34
-0.703125,2.54883,-0.894886,-0.966797,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.175781,0.35
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.46875,0.36
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.234375,0.37
-0.703125,2.63672,-0.838956,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.234375,0.38
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.234375,0.39
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.410156,0.4
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.117188,0.41
