left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
-1.34271,2.53312,7.30208,0.806391,0.665463,-1.34984,0.11115,-3.93226,6.92402,-0.908721,1.49016,0.260983,0
-1.33275,2.63476,7.29427,0.767165,0.671364,-1.38982,0.38187,-3.96047,6.64305,-0.910694,1.55186,0.254423,0.01
-1.34169,2.80068,7.34217,0.767897,0.675884,-1.41673,0.391459,-4.06775,6.2832,-0.896864,1.4761,0.316054,0.02
-1.33268,2.63484,7.29426,0.767135,0.671345,-1.38983,0.121779,-4.034,6.91852,-0.868288,1.49697,0.300062,0.03
-1.34159,2.75311,7.3674,0.76929,0.674534,-1.36773,0.391581,-4.01884,6.30448,-0.90022,1.47376,0.266839,0.04
-1.33968,2.73995,7.3587,0.795505,0.667089,-1.34991,0.121872,-4.03392,6.91849,-0.868259,1.49698,0.300045,0.05
-1.33278,2.63486,7.29427,0.767166,0.67133,-1.38982,0.40439,-4.05867,6.31202,-0.889139,1.47086,0.239616,0.06
-1.34175,2.80085,7.34241,0.767893,0.675849,-1.41672,-0.155726,-3.91729,7.06315,-0.909345,1.48269,0.256079,0.07
-1.34257,2.53302,7.30202,0.806405,0.665493,-1.34981,0.404801,-4.32597,6.35678,-0.848767,1.48195,0.305121,0.08
-1.33971,2.74005,7.35879,0.79551,0.667062,-1.34991,0.123934,-3.97209,6.93139,-0.897688,1.48724,0.233747,0.09
-1.33959,2.7399,7.35872,0.79553,0.667095,-1.34989,0.111152,-3.93224,6.92392,-0.908738,1.49014,0.260971,0.1
-1.35165,2.69875,7.34996,0.807235,0.670029,-1.37666,0.391634,-4.01898,6.30458,-0.900197,1.47376,0.266894,0.11
-1.35468,2.49171,7.29324,0.818175,0.668443,-1.37652,-0.165982,-4.08311,7.11336,-0.909394,1.48697,0.282549,0.12
-1.33179,2.85494,7.35972,0.73009,0.680376,-1.40771,0.121581,-4.03393,6.91871,-0.868332,1.49694,0.300042,0.13
-1.34273,2.53289,7.30197,0.806496,0.665488,-1.34975,0.108995,-3.99422,6.91114,-0.879331,1.49987,0.327316,0.14
-1.35453,2.49176,7.2932,0.818125,0.668441,-1.37654,0.10005,-3.87943,6.90826,-0.945971,1.48556,0.271097,0.15
-1.35147,2.69889,7.34991,0.807172,0.670022,-1.37669,0.121495,-4.03388,6.91886,-0.868374,1.4969,0.300037,0.16
-1.07726,2.74714,6.73723,0.811226,0.655978,-1.40928,0.401985,-4.12041,6.29944,-0.85983,1.48053,0.305912,0.17
-1.0536,2.82954,6.75502,0.787891,0.650037,-1.35574,0.391584,-4.01881,6.30459,-0.900212,1.47375,0.266851,0.18
-1.34157,2.8008,7.34218,0.767909,0.675869,-1.41669,0.121464,-4.03398,6.91884,-0.868398,1.49689,0.300059,0.19
-1.34168,2.80083,7.34228,0.767956,0.675836,-1.41669,0.403985,-4.05868,6.31252,-0.889276,1.47077,0.239652,0.2
-1.34184,2.80088,7.34233,0.767973,0.675812,-1.41668,0.391418,-4.01896,6.30462,-0.900276,1.47372,0.266881,0.21
-1.35147,2.69869,7.34986,0.80723,0.670061,-1.37663,0.391418,-4.01894,6.30458,-0.900287,1.47371,0.266873,0.22
-1.35149,2.69885,7.34982,0.807231,0.670018,-1.37665,0.40394,-4.05876,6.31234,-0.889308,1.47074,0.239651,0.23
-1.35139,2.69882,7.3499,0.807209,0.670025,-1.37665,0.123425,-3.97214,6.93197,-0.897845,1.48713,0.23378,0.24
-1.35419,2.69507,7.70185,0.778242,0.753036,-1.35522,0.414518,-4.16035,6.30729,-0.848858,1.47757,0.27873,0.25
-1.35149,2.69888,7.35007,0.807206,0.67,-1.37666,0.414472,-4.16045,6.30715,-0.848874,1.47755,0.278739,0.26
-1.35144,2.69883,7.34993,0.807213,0.670023,-1.37665,0.123059,-4.02105,6.91086,-0.89458,1.48939,0.282992,0.27
-1.34181,2.80081,7.34231,0.768001,0.675828,-1.41664,0.123509,-3.97228,6.93194,-0.897845,1.4871,0.233821,0.28
-1.33956,2.74009,7.35886,0.795533,0.667045,-1.34988,0.39392,-4.22449,6.36243,-0.889299,1.47505,0.26612,0.29
-1.35153,2.69881,7.34979,0.807313,0.670018,-1.3766,0.404018,-4.05881,6.31245,-0.889295,1.47074,0.239687,0.3
-1.34182,2.80074,7.34235,0.768045,0.675828,-1.41662,0.123417,-3.97228,6.93188,-0.897846,1.48712,0.233803,0.31
-1.34172,2.80078,7.34233,0.768018,0.675829,-1.41663,0.112962,-4.18673,6.96081,-0.894607,1.4937,0.309422,0.32
-1.35151,2.69887,7.35003,0.807238,0.669992,-1.37664,0.123037,-4.02098,6.91087,-0.894615,1.48935,0.282972,0.33
-1.33166,2.8551,7.3598,0.730085,0.680329,-1.40768,0.373119,-4.11322,6.68522,-0.936992,1.54858,0.263794,0.34
-1.62861,2.44355,7.90594,0.814113,0.682478,-1.34389,0.404446,-4.3262,6.35726,-0.848905,1.48185,0.305216,0.35
-1.3395,2.73987,7.35875,0.795603,0.66708,-1.34982,0.123283,-3.97228,6.93198,-0.897911,1.48705,0.233809,0.36
-1.35143,2.69873,7.34984,0.807299,0.67004,-1.37658,0.123325,-3.97216,6.93194,-0.897901,1.48705,0.233768,0.37
