left_arm_positions.q_1,left_arm_positions.q_2,left_arm_positions.q_3,left_arm_positions.q_4,left_arm_positions.q_5,left_arm_positions.q_6,left_arm_positions.q_7,right_arm_positions.q_1,right_arm_positions.q_2,right_arm_positions.q_3,right_arm_positions.q_4,right_arm_positions.q_5,right_arm_positions.q_6,right_arm_positions.q_7,waist_position.q_w,time.t
-0.00204515,0.202008,-0.12433,0.452635,-0.0618427,0.362305,-0.140027,0.00706502,-0.202059,0.129729,0.476949,0.0648029,0.38263,0.134754,0.000460219,0
-0.00204515,0.202008,-0.124343,0.452644,-0.0618305,0.36234,-0.140015,0.00706502,-0.202059,0.129715,0.476949,0.0648029,0.38263,0.134754,0.000434654,0.01
-0.00204515,0.202,-0.124356,0.452626,-0.0618906,0.362329,-0.140015,0.0070565,-0.202085,0.129729,0.47694,0.0648029,0.38263,0.134754,0.000460219,0.02
-0.00205374,0.202,-0.12437,0.452626,-0.0618427,0.362329,-0.140039,0.00704797,-0.202076,0.129702,0.476957,0.0647788,0.38263,0.134742,0.000460219,0.03
-0.00204515,0.202,-0.12437,0.452644,-0.0618784,0.362317,-0.140039,0.00704797,-0.202059,0.129729,0.476957,0.0647788,0.38263,0.134742,0.000460219,0.04
-0.00205374,0.202008,-0.12437,0.452652,-0.0618305,0.362329,-0.140027,0.00703093,-0.202085,0.129729,0.476949,0.0647907,0.38263,0.134754,0.000460219,0.05
-0.00204515,0.202008,-0.124356,0.452635,-0.0618665,0.362329,-0.140027,0.00702241,-0.202051,0.129742,0.47694,0.0648029,0.38263,0.134754,0.000434654,0.06
-0.00204515,0.202008,-0.124343,0.452652,-0.0618546,0.362352,-0.140027,0.00704797,-0.202051,0.129742,0.476949,0.0648029,0.382642,0.134754,0.000460219,0.07
-0.00206232,0.202008,-0.124356,0.452644,-0.0618784,0.362352,-0.140027,0.00707354,-0.202059,0.129742,0.476949,0.0647669,0.38263,0.134754,0.000460219,0.08
-0.0020709,0.202,-0.12437,0.452626,-0.0618546,0.362376,-0.140027,0.00709058,-0.202068,0.129715,0.476949,0.0647907,0.38263,0.13473,0.000460219,0.09
-0.00205374,0.202025,-0.124356,0.452635,-0.0618305,0.362352,-0.140027,0.00709058,-0.202059,0.129742,0.476949,0.0647907,0.382642,0.134766,0.000434654,0.1
-0.00206232,0.202008,-0.12437,0.452635,-0.0618546,0.36234,-0.140015,0.00707354,-0.202068,0.129729,0.476949,0.0647669,0.382642,0.134754,0.000434654,0.11
-0.00206232,0.202008,-0.124356,0.452652,-0.0618546,0.362352,-0.140027,0.00706502,-0.202076,0.129729,0.476949,0.0647907,0.38263,0.134754,0.000434654,0.12
-0.00205374,0.202,-0.12437,0.452635,-0.0618546,0.362376,-0.140039,0.0070565,-0.202059,0.129715,0.476957,0.0648029,0.38263,0.134754,0.000434654,0.13
-0.00204515,0.202008,-0.124356,0.452635,-0.0618665,0.362376,-0.140027,0.00706502,-0.202076,0.129715,0.476957,0.0648029,0.38263,0.134742,0.000460219,0.14
-0.00205374,0.201983,-0.12437,0.452635,-0.0618665,0.362388,-0.140027,0.0070565,-0.202059,0.129715,0.476949,0.0648029,0.38263,0.134742,0.000460219,0.15
-0.00206232,0.201983,-0.12437,0.452635,-0.0618546,0.362388,-0.140027,0.00706502,-0.202068,0.129729,0.476949,0.0647907,0.38263,0.134742,0.000434654,0.16
-0.00206232,0.201983,-0.124356,0.452635,-0.0618546,0.362376,-0.140027,0.00706502,-0.202076,0.129729,0.47694,0.0647788,0.38263,0.13473,0.000434654,0.17
-0.00207949,0.201991,-0.124356,0.452635,-0.0618665,0.362376,-0.140027,0.00707354,-0.202059,0.129769,0.476949,0.0648029,0.38263,0.134742,0.000434654,0.18
-0.00206232,0.201991,-0.124356,0.452652,-0.0618546,0.362412,-0.140015,0.00707354,-0.202059,0.129755,0.47694,0.0648029,0.382642,0.134766,0.000460219,0.19
-0.00205374,0.202008,-0.12433,0.452626,-0.0618784,0.362401,-0.140003,0.00707354,-0.202051,0.129742,0.476949,0.0648029,0.38263,0.134742,0.000485785,0.2
-0.00206232,0.202008,-0.124343,0.452626,-0.0618427,0.362401,-0.140015,0.0070565,-0.202076,0.129742,0.476957,0.0648029,0.38263,0.134742,0.000511352,0.21
-0.00204515,0.202008,-0.124343,0.452635,-0.0618305,0.362401,-0.140027,0.00703945,-0.202068,0.129715,0.476949,0.0648029,0.38263,0.134742,0.000460219,0.22
-0.00204515,0.202,-0.12437,0.452635,-0.0618665,0.362388,-0.140039,0.00702241,-0.202068,0.129715,0.476932,0.0648029,0.38263,0.134754,0.000460219,0.23
-0.00203657,0.201991,-0.12437,0.452635,-0.0618546,0.362412,-0.140015,0.0070565,-0.202093,0.129742,0.476949,0.0647788,0.382618,0.134766,0.000409087,0.24
-0.00204515,0.201983,-0.124383,0.452626,-0.0618427,0.362412,-0.140027,0.0070565,-0.202085,0.129729,0.476966,0.0647669,0.38263,0.134754,0.000434654,0.25
-0.00205374,0.201974,-0.124383,0.452635,-0.0618546,0.362424,-0.140015,0.00707354,-0.202068,0.129742,0.476957,0.0647788,0.382642,0.13473,0.000434654,0.26
-0.00205374,0.201974,-0.12437,0.452635,-0.0618546,0.362448,-0.140027,0.00706502,-0.202068,0.129742,0.476949,0.0648029,0.382642,0.134742,0.000460219,0.27
-0.00205374,0.201991,-0.12437,0.452635,-0.0618305,0.362436,-0.140027,0.00708206,-0.202059,0.129755,0.476957,0.0648029,0.382654,0.134766,0.000434654,0.28
-0.00203657,0.201991,-0.124356,0.452626,-0.0618427,0.362436,-0.140027,0.00707354,-0.202051,0.129769,0.476949,0.0648029,0.382642,0.134754,0.000434654,0.29
-0.00204515,0.202,-0.12437,0.452635,-0.0618427,0.362448,-0.140015,0.0070565,-0.202076,0.129742,0.47694,0.0648029,0.382642,0.134742,0.000434654,0.3
-0.00204515,0.202,-0.124356,0.452635,-0.0618305,0.362436,-0.140015,0.00708206,-0.202076,0.129742,0.476966,0.0647788,0.38263,0.13473,0.000434654,0.31
-0.00205374,0.202,-0.124343,0.452635,-0.0618546,0.362436,-0.140015,0.0070565,-0.202085,0.129715,0.476957,0.0648029,0.382642,0.134742,0.000409087,0.32
-0.0020709,0.202,-0.124356,0.452635,-0.0618546,0.362436,-0.140027,0.0070565,-0.202085,0.129742,0.47694,0.0648029,0.38263,0.134754,0.000434654,0.33
-0.00206232,0.202,-0.124356,0.452635,-0.0618546,0.362448,-0.140027,0.00704797,-0.202068,0.129742,0.476957,0.0647669,0.382654,0.134754,0.000434654,0.34
-0.00205374,0.201983,-0.124356,0.452644,-0.0618427,0.362448,-0.140027,0.00706502,-0.202068,0.129729,0.476949,0.0647788,0.382654,0.134766,0.000460219,0.35
-0.00204515,0.202008,-0.124343,0.452644,-0.0618305,0.362448,-0.140027,0.00708206,-0.202068,0.129755,0.476949,0.0648029,0.382642,0.134754,0.000485785,0.36
-0.00203657,0.201991,-0.12437,0.452644,-0.0618546,0.36246,-0.140027,0.00707354,-0.202059,0.129729,0.476949,0.0648029,0.38263,0.134766,0.000434654,0.37
