left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
4.41545,3.00143,19.3478,-0.303753,1.03261,-0.509628,5.15446,-3.95926,14.6938,0.557482,0.857686,0.778734,0
4.4151,3.02423,19.3189,-0.304876,1.02528,-0.513606,5.10263,-3.93885,14.7198,0.557138,0.855589,0.775303,0.01
4.44155,3.04778,19.2641,-0.305595,1.02487,-0.516389,5.05597,-3.94193,14.7499,0.560562,0.854497,0.773561,0.02
4.43878,3.06724,19.2293,-0.306181,1.02373,-0.518469,5.015,-3.92813,14.7716,0.56345,0.853073,0.769399,0.03
4.46349,3.09274,19.1495,-0.307809,1.0157,-0.522112,4.97502,-3.92248,14.7938,0.55917,0.851528,0.770735,0.04
4.45936,3.11161,19.1418,-0.31219,1.01044,-0.523751,4.94225,-3.93082,14.8171,0.563335,0.850486,0.766589,0.05
4.45399,3.11716,19.1675,-0.311423,1.0131,-0.524975,4.91379,-3.92183,14.8328,0.566883,0.849107,0.760275,0.06
4.47655,3.13138,19.1278,-0.311491,1.01391,-0.526614,4.88633,-3.93297,14.817,0.570384,0.840945,0.761358,0.07
4.49787,3.14939,19.0935,-0.315215,1.015,-0.527001,4.86058,-3.9166,14.7949,0.566266,0.832457,0.762229,0.08
4.4886,3.15119,19.1241,-0.314144,1.01721,-0.527904,4.89105,-3.92577,14.7861,0.56893,0.835333,0.762631,0.09
4.48029,3.15274,19.1516,-0.313183,1.0192,-0.52871,4.91949,-3.91748,14.773,0.571126,0.83748,0.760408,0.1
4.50081,3.16967,19.0795,-0.314113,1.01162,-0.531328,4.89013,-3.9178,14.7963,0.569618,0.837847,0.761398,0.11
4.49331,3.18468,19.113,-0.320938,1.01537,-0.53451,4.86266,-3.91316,14.816,0.564721,0.837825,0.763534,0.12
