left_arm_positions.q_1,left_arm_positions.q_2,left_arm_positions.q_3,left_arm_positions.q_4,left_arm_positions.q_5,left_arm_positions.q_6,left_arm_positions.q_7,right_arm_positions.q_1,right_arm_positions.q_2,right_arm_positions.q_3,right_arm_positions.q_4,right_arm_positions.q_5,right_arm_positions.q_6,right_arm_positions.q_7,waist_position.q_w,time.t
-0.0220637,0.201727,-0.114245,0.422671,-0.0922585,0.351051,-0.141681,-0.0129875,-0.197747,0.127693,0.442741,0.0829828,0.353196,0.16215,0.000536917,0
-0.0220637,0.201753,-0.114219,0.422646,-0.0922465,0.351039,-0.141669,-0.012996,-0.197747,0.127693,0.442741,0.0829589,0.353196,0.16215,0.000536917,0.01
-0.0220723,0.201753,-0.114219,0.422663,-0.0922706,0.351039,-0.141669,-0.0130046,-0.197721,0.127653,0.442741,0.0829828,0.353196,0.162138,0.000536917,0.02
-0.0220551,0.201735,-0.114205,0.422671,-0.0922706,0.351015,-0.141681,-0.012996,-0.19773,0.12768,0.442732,0.0829589,0.353196,0.16215,0.000562483,0.03
-0.0220723,0.201735,-0.114219,0.42268,-0.0922706,0.351015,-0.141681,-0.0130046,-0.197739,0.127693,0.442732,0.0829589,0.353184,0.16215,0.000562483,0.04
-0.0220809,0.201744,-0.114219,0.422671,-0.0922706,0.351015,-0.141681,-0.0129875,-0.197739,0.127666,0.442741,0.082947,0.353196,0.162138,0.000536917,0.05
-0.0220637,0.201735,-0.114219,0.422663,-0.0922706,0.351015,-0.141681,-0.012996,-0.197739,0.127666,0.442741,0.0829589,0.353208,0.162138,0.000562483,0.06
-0.0220637,0.201718,-0.114232,0.422697,-0.0922585,0.350991,-0.141681,-0.0129875,-0.197747,0.12764,0.442732,0.0829589,0.353196,0.16215,0.000536917,0.07
-0.0220551,0.201718,-0.114219,0.42268,-0.0922585,0.351003,-0.141681,-0.0129875,-0.19773,0.127707,0.442741,0.0829349,0.353196,0.16215,0.000536917,0.08
-0.0220723,0.201727,-0.114232,0.42268,-0.0922706,0.350991,-0.141681,-0.0129875,-0.197739,0.127666,0.442732,0.0829589,0.353196,0.16215,0.000536917,0.09
-0.0220637,0.201735,-0.114219,0.422671,-0.0922706,0.350967,-0.141681,-0.0129875,-0.197747,0.127693,0.442732,0.0829589,0.353196,0.16215,0.000536917,0.1
-0.0220723,0.201735,-0.114245,0.422671,-0.0922706,0.350967,-0.141669,-0.0129875,-0.197721,0.127707,0.44275,0.0829828,0.353196,0.16215,0.000562483,0.11
-0.0220723,0.201727,-0.114245,0.42268,-0.0922706,0.350955,-0.141681,-0.0129875,-0.19773,0.127693,0.442741,0.0829828,0.353196,0.16215,0.000536917,0.12
-0.0220723,0.201735,-0.114219,0.422671,-0.0922706,0.350967,-0.141681,-0.0130046,-0.197739,0.127707,0.442732,0.0829589,0.353196,0.16215,0.000562483,0.13
-0.0220723,0.201727,-0.114232,0.422671,-0.0922825,0.350955,-0.141681,-0.0129875,-0.19773,0.12772,0.442741,0.0829709,0.353208,0.16215,0.00051135,0.14
-0.0220551,0.201718,-0.114232,0.422688,-0.0922825,0.350955,-0.141669,-0.0129875,-0.19773,0.127733,0.442732,0.0829709,0.353184,0.162162,0.000562483,0.15
-0.0220551,0.20171,-0.114219,0.422688,-0.0922706,0.350967,-0.141669,-0.012996,-0.197739,0.127733,0.442741,0.082947,0.353196,0.162174,0.000536917,0.16
-0.0220466,0.201701,-0.114219,0.422688,-0.0922706,0.350944,-0.141669,-0.012996,-0.197747,0.127733,0.442724,0.082947,0.353208,0.16215,0.000536917,0.17
-0.0220551,0.20171,-0.114245,0.42268,-0.0922825,0.350944,-0.141669,-0.0129875,-0.197747,0.127707,0.442732,0.0829589,0.353208,0.16215,0.000536917,0.18
-0.0220551,0.201701,-0.114192,0.422697,-0.0922706,0.350944,-0.141669,-0.012996,-0.197721,0.127747,0.442741,0.082947,0.353184,0.162162,0.000536917,0.19
-0.0220466,0.201701,-0.114232,0.42268,-0.0922706,0.350932,-0.141681,-0.0129875,-0.19773,0.12776,0.442732,0.0829828,0.353196,0.162162,0.000562483,0.2
-0.0220637,0.201701,-0.114245,0.422688,-0.0922825,0.350932,-0.141681,-0.0130046,-0.197721,0.127733,0.442724,0.0829709,0.353196,0.162174,0.000536917,0.21
-0.0220637,0.201718,-0.114205,0.422688,-0.0922706,0.350919,-0.141669,-0.0130046,-0.197721,0.127733,0.442724,0.0829589,0.353196,0.162186,0.000562483,0.22
-0.0220551,0.201701,-0.114219,0.42268,-0.0922825,0.350919,-0.141657,-0.0130046,-0.197713,0.12776,0.442724,0.0829589,0.353196,0.162174,0.000562483,0.23
-0.022038,0.201701,-0.114219,0.422688,-0.0922825,0.350907,-0.141669,-0.0129875,-0.19773,0.127774,0.442724,0.0829828,0.353196,0.162174,0.000562483,0.24
-0.0220466,0.201701,-0.114219,0.422688,-0.0922585,0.350895,-0.141669,-0.0129875,-0.197721,0.127774,0.442741,0.0829709,0.353208,0.162186,0.000562483,0.25
-0.022038,0.201701,-0.114245,0.422697,-0.0922825,0.350907,-0.141669,-0.0130046,-0.197704,0.127774,0.442732,0.0829589,0.353208,0.162162,0.000562483,0.26
-0.0220466,0.201701,-0.114219,0.422697,-0.0922825,0.350907,-0.141681,-0.0129875,-0.197704,0.127787,0.442732,0.0829828,0.353208,0.162174,0.000562483,0.27
-0.0220637,0.201693,-0.114232,0.422697,-0.0922825,0.350883,-0.141669,-0.0129705,-0.197704,0.127787,0.442741,0.0829709,0.353196,0.162162,0.000536917,0.28
-0.022038,0.201693,-0.114232,0.422697,-0.0922825,0.350895,-0.141681,-0.012979,-0.197704,0.127787,0.442741,0.0829709,0.353196,0.162162,0.000562483,0.29
-0.0220551,0.201684,-0.114219,0.422671,-0.0922706,0.35086,-0.141669,-0.012979,-0.197704,0.127774,0.442741,0.0829709,0.353196,0.162174,0.000562483,0.3
-0.0220551,0.201693,-0.114245,0.422688,-0.0922825,0.350848,-0.141669,-0.012996,-0.197713,0.127774,0.442724,0.0829828,0.353208,0.162186,0.00058805,0.31
-0.0220466,0.201684,-0.114232,0.422697,-0.0922825,0.350848,-0.141681,-0.0129875,-0.197704,0.1278,0.442724,0.0829828,0.353196,0.162186,0.00058805,0.32
-0.022038,0.201693,-0.114245,0.422697,-0.0922945,0.350872,-0.141657,-0.012979,-0.197704,0.1278,0.442741,0.082947,0.353208,0.162198,0.00058805,0.33
-0.022038,0.201684,-0.114219,0.422705,-0.0922945,0.35086,-0.141657,-0.0129875,-0.197713,0.1278,0.442741,0.0829709,0.353208,0.162186,0.000562483,0.34
-0.022038,0.201684,-0.114219,0.422714,-0.0922945,0.35086,-0.141669,-0.0129705,-0.197687,0.127814,0.44275,0.0829709,0.353184,0.162186,0.000562483,0.35
-0.022038,0.201701,-0.114219,0.422688,-0.0922945,0.350835,-0.141681,-0.0129875,-0.197704,0.127814,0.442724,0.0829589,0.353208,0.162186,0.000562483,0.36
-0.0220466,0.201684,-0.114205,0.422688,-0.0922706,0.350835,-0.141681,-0.0129875,-0.197713,0.1278,0.442741,0.0829349,0.353196,0.162186,0.000562483,0.37
-0.022038,0.201693,-0.114232,0.422697,-0.0922825,0.350823,-0.141657,-0.0129875,-0.197704,0.127814,0.442732,0.0829589,0.353208,0.162186,0.00058805,0.38
-0.0220466,0.201693,-0.114232,0.422688,-0.0922706,0.350823,-0.141657,-0.012996,-0.197679,0.127827,0.442724,0.0829589,0.353196,0.162186,0.00058805,0.39
-0.022038,0.201693,-0.114219,0.422705,-0.0922945,0.350811,-0.141657,-0.012996,-0.197696,0.127854,0.442724,0.0829709,0.353196,0.162186,0.00058805,0.4
-0.0220637,0.201684,-0.114219,0.422688,-0.0922945,0.350823,-0.141669,-0.0129875,-0.197704,0.127827,0.442724,0.0829709,0.353196,0.162198,0.000613617,0.41
-0.022038,0.201684,-0.114232,0.422697,-0.0922825,0.350788,-0.141669,-0.0129875,-0.197696,0.127841,0.442732,0.0829709,0.353208,0.16221,0.00058805,0.42
-0.0220213,0.201667,-0.114232,0.422705,-0.0922825,0.3508,-0.141657,-0.0129875,-0.197687,0.127867,0.442732,0.0829709,0.353196,0.16221,0.00058805,0.43
-0.0220127,0.201684,-0.114219,0.422714,-0.0922945,0.3508,-0.141657,-0.012962,-0.197687,0.127867,0.442741,0.0829709,0.353196,0.16221,0.000562483,0.44
-0.0220466,0.201684,-0.114219,0.422697,-0.0922945,0.350776,-0.141645,-0.0129875,-0.19767,0.127867,0.44275,0.0829828,0.353208,0.162198,0.000562483,0.45
-0.0220299,0.201684,-0.114205,0.42268,-0.0922945,0.350764,-0.141657,-0.012996,-0.197653,0.127867,0.442732,0.0829828,0.353208,0.162198,0.00058805,0.46
-0.0220299,0.201684,-0.114259,0.42268,-0.0922825,0.350788,-0.141669,-0.0129875,-0.197679,0.127894,0.442741,0.0829589,0.353196,0.16221,0.000639183,0.47
-0.0220299,0.201684,-0.114219,0.422697,-0.0922945,0.350764,-0.141681,-0.0129875,-0.19767,0.127881,0.442741,0.0829709,0.353208,0.162222,0.000613617,0.48
-0.0220299,0.201667,-0.114232,0.422705,-0.0923185,0.350764,-0.141645,-0.0129875,-0.19767,0.127867,0.442732,0.0829709,0.353208,0.162222,0.00058805,0.49
-0.0220213,0.201642,-0.114219,0.422714,-0.0922945,0.350752,-0.141657,-0.0129875,-0.19767,0.127894,0.442741,0.0829828,0.353208,0.162222,0.000562483,0.5
-0.022038,0.201642,-0.114232,0.422714,-0.0922945,0.350752,-0.141669,-0.0129875,-0.197679,0.127881,0.442732,0.0829589,0.353196,0.162198,0.000562483,0.51
-0.022038,0.20165,-0.114205,0.422714,-0.0922945,0.350752,-0.141657,-0.012962,-0.19767,0.127881,0.44275,0.0829828,0.353196,0.16221,0.000562483,0.52
-0.022038,0.201659,-0.114219,0.422705,-0.0922945,0.350739,-0.141669,-0.012996,-0.197662,0.127908,0.442741,0.0829589,0.353184,0.16221,0.000562483,0.53
-0.0220299,0.201659,-0.114205,0.422697,-0.0922945,0.350728,-0.141657,-0.0129875,-0.19767,0.127921,0.442732,0.0829709,0.353208,0.16221,0.00058805,0.54
-0.0220213,0.20165,-0.114219,0.422697,-0.0922945,0.350739,-0.141669,-0.0129875,-0.19767,0.127934,0.442758,0.0829828,0.353196,0.16221,0.000613617,0.55
-0.0220213,0.201642,-0.114245,0.422714,-0.0922945,0.350728,-0.141657,-0.012996,-0.197679,0.127894,0.442741,0.0829828,0.353196,0.162222,0.000613617,0.56
-0.0220213,0.201608,-0.114245,0.422731,-0.0922945,0.350728,-0.141657,-0.0129875,-0.19767,0.127921,0.442741,0.0829589,0.353208,0.162222,0.00058805,0.57
-0.0220213,0.201591,-0.114245,0.422714,-0.0923064,0.350704,-0.141633,-0.012979,-0.197679,0.127908,0.442741,0.0829949,0.353208,0.162198,0.00058805,0.58
-0.022038,0.201574,-0.114245,0.422705,-0.0923064,0.350728,-0.141657,-0.012962,-0.19767,0.127921,0.442741,0.082947,0.353196,0.16221,0.00058805,0.59
-0.022038,0.201565,-0.114232,0.422705,-0.0923064,0.350716,-0.141645,-0.012979,-0.197662,0.127921,0.44275,0.0829828,0.353196,0.162222,0.00058805,0.6
-0.022038,0.201574,-0.114245,0.422714,-0.0922945,0.350692,-0.141669,-0.012979,-0.197662,0.127948,0.44275,0.0829709,0.353208,0.162222,0.00058805,0.61
-0.0220213,0.201574,-0.114192,0.422697,-0.0922945,0.350704,-0.141657,-0.012979,-0.197662,0.127908,0.442741,0.082947,0.353196,0.16221,0.00058805,0.62
-0.0220299,0.201574,-0.114259,0.422714,-0.0922945,0.350704,-0.141657,-0.012979,-0.197679,0.127894,0.442758,0.0829709,0.353196,0.162222,0.00058805,0.63
-0.022038,0.201556,-0.114259,0.422705,-0.0923064,0.350704,-0.141645,-0.0129875,-0.197679,0.127908,0.442741,0.0829828,0.353184,0.162222,0.00058805,0.64
-0.022038,0.201548,-0.114232,0.422705,-0.0922945,0.35068,-0.141645,-0.012996,-0.197679,0.127908,0.442724,0.0829709,0.353208,0.162222,0.00058805,0.65
-0.0220213,0.201497,-0.114232,0.422705,-0.0922825,0.350668,-0.141633,-0.012979,-0.197653,0.127894,0.442741,0.0829709,0.353196,0.16221,0.00058805,0.66
-0.0220213,0.201488,-0.114245,0.422714,-0.0922945,0.35068,-0.141645,-0.0129705,-0.19767,0.127908,0.442741,0.0829709,0.353208,0.162222,0.00058805,0.67
-0.022038,0.201471,-0.114192,0.422705,-0.0923064,0.35068,-0.141633,-0.0129875,-0.19767,0.127908,0.442741,0.0829709,0.353208,0.162222,0.00058805,0.68
-0.0220127,0.20148,-0.114245,0.422697,-0.0923185,0.350668,-0.141645,-0.012979,-0.19767,0.127894,0.44275,0.082947,0.353196,0.162222,0.00058805,0.69
-0.0220213,0.201488,-0.114219,0.422697,-0.0923064,0.350668,-0.141645,-0.0129705,-0.19767,0.127908,0.442741,0.082947,0.353196,0.162222,0.00058805,0.7
-0.0220213,0.201497,-0.114219,0.422723,-0.0922945,0.350668,-0.141633,-0.012979,-0.197687,0.127894,0.442741,0.0829828,0.353208,0.162222,0.000613617,0.71
-0.0220213,0.20148,-0.114245,0.422705,-0.0923064,0.350668,-0.141621,-0.0129705,-0.197662,0.127894,0.442758,0.0829589,0.353208,0.162222,0.00058805,0.72
-0.0220127,0.201463,-0.114219,0.422705,-0.0923185,0.350668,-0.141633,-0.012979,-0.19767,0.127881,0.44275,0.082947,0.353208,0.162222,0.000562483,0.73
-0.022038,0.201463,-0.114245,0.422697,-0.0923064,0.350632,-0.141633,-0.0129875,-0.197653,0.127881,0.44275,0.0829709,0.353184,0.162222,0.00058805,0.74
-0.0220299,0.201463,-0.114219,0.422705,-0.0923064,0.350644,-0.141633,-0.012962,-0.19767,0.127908,0.442758,0.0829828,0.353208,0.16221,0.00058805,0.75
